location,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max
In Salah,,NW-SE,,90,,,Fractured zone,SS-NF,,80,,0,0,1800,1820,,,,0.2,,9.50E-14,,,,,,,,1,,0.3,,28
Heletz,N130E,N160E,,90,,,,SS-NF,,,,,400,1650,1675,,,,,,,,,,,,,,,,,,
Bergermeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castor,,190,,60,,280,Amposta,NF,,,,,100,,,,,,,,1.00E-17,,,,,,,,,,,,30
Hontomín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Decatur (CCS1), Illinois, demonstration site",N40E,NW-SE,50,90,,,,SS-NF,,,,,150,,2170,,,,,,,,,,,,,,,,,,
"IL-ICCS (CCS2), Illinois, industry site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Basin (Habanero 1 restimulation),,,,10,,,Habanero fault,RF,6,150,1,,0,4200,4254,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,
Cooper Basin (Habanero 1),,,,10,,,Habanero fault,RF,6,150,1,,0,4200,4254,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,
Cooper Basin (Habanero 3),,,,10,,,Habanero fault,RF,6,150,1,,0,4180,,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,
Cooper Basin (Habanero 4),,,,10,,,Habanero fault,RF,6,150,1,,0,4157,,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,
Cooper Basin (Jolokia 1),N244E,,,10,,,Habanero fault,RF,6,150,1,,,,,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,
Paralana 2 (Diagnostic Fracture Injection Test),N-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Paralana 2,N-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmatt (MOL-GT-02),NNW-SEE,,,,,,,NF,,,,,,3460,,,,0.1,,9.86E-14,,,,,,,,,,,,,
Berlín (Well TR8A),NNW-SSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helsinki,NW,NNW,,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,
"La Wantzenau, Strasbourg",N320E,,,,,,Robertsau,,,,,,,,,,,,,,,,,,,9,,,,,,,
"Rittershoffen, Alsace",N10E,N20E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robertsau, Strasbourg",N15E,,,85,,N105E,Robertsau,,,,,,,,,,,,,,,,,,,,,,,,,,
Soultz (GPK-1),N150E,NS,,,,,,,,,,,,,,,,,0.15,1.00E-14,,,,,,,,,,,,,
Soultz (GPK-2),NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soultz (GPK-2)- restimulation,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soultz (GPK-3),NS,,,,,,,,25,,,,0,4755,4780,,,,,,,,,,,,,,,,,,
Soultz (GPK-4),NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Urach,NS,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GeneSys, Hannover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
