country,location,latitude,longitude,project_type,sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max,site_depth_bas_min,site_depth_bas_max,site_s_reg,site_sv_a,site_sv_b,site_sv_min,site_sv_max,site_shmax_a,site_shmax_b,site_shmax_min,site_shmax_max,site_shmin_a,site_shmin_b,site_shmin_min,site_shmin_max,site_shmax_dir_min,site_shmax_dir_max,site_p_a,site_p_b,site_p_min,site_p_max,site_T_min,site_T_max,fault_strike_min,fault_strike_max,fault_dip_min,fault_dip_max,fault_dip_dir_min,fault_dip_dir_max,fault_name,fault_type,fault_thick_min,fault_thick_max,fault_core_thick_min,fault_core_thick_max,fault_dist_inj,fault_inj_depth_min,fault_inj_depth_max,fault_dens_min,fault_dens_max,fault_poro_min,fault_poro_max,fault_perm_min,fault_perm_max,fault_Kn_min,fault_Kn_max,fault_Ks_min,fault_Ks_max,fault_psi_min,fault_psi_max,fault_E_min,fault_E_max,fault_nu_min,fault_nu_max,fault_phi_min,fault_phi_max,inj_depth_min,inj_depth_max,inj_type,int_start,inj_fluid,inj_T,inj_rate_max,inj_vol_min,inj_vol_max,inj_net_vol_min,inj_net_vol_max,inj_up_p,inj_down_p,seism_onset,seism_time_shift_onset,seism_events,seism_depth_min,seism_depth_max,seism_a_before,seism_b_before,seism_a_during,seism_b_during,seism_a_after,seism_b_after,moment_max,moment_max_type,,moment_max_depth_min,moment_max_depth_max,moment_distance,moment_date,reason,comment,data_sources,projectID
Algeria,In Salah,29.089,2.214,Geologic gas storage,CCS,Krechba,Sandstone,1,5,2250,2470,0.15,0.2,0.18,8.10E-15,2.40E-14,1.61E-14,5,20,12.5,0.2,0.2,0.2,2.78,11.11,2.08,8.33,,,,26.6,,,,,,,,2,,1.00E-05,,,SS,0.0247,0,44.46,44.95,0.0277,0,49.8,50.35,0.017,0,30.68,31.02,,NW-SE,0.0099,0,17.8,18,,90,,NW-SE,,90,,,Fractured zone,SS-NF,,80,,0,0,1800,1820,,,,0.2,,9.50E-14,,,,,,,,1,,0.3,,28,1800,1820,CO2 injection through 3 horizontal wells,1/1/2004,CO2,50,1.31E-02,,5.92E+06,,5.92E+06,18,30,8/1/2009,,9506,2200,2700,,,,2.17,,,1.7,Mw,,,,,,Pore pressure buildup due to CO2 injection,Injection into gas field but no apparent connection between water leg and produced gas cap. Volume assuming liquid CO2 density of 1100 kg/m3,"Oye et al. (2013), Stork et al. (2015), Verdon et al. (2013, 2015), Iding and Ringrose (2011), Rutqvist et al. (2010), Rutqvist (2012), Morris et al. (2011), Vilarrasa et al. (2015, 2017, 2019)",1
Israel,Heletz,31.588,34.604,Geologic gas storage,CCS,Heletz sand,unconsolidated sand,,,,,0.13,0.16,0.15,4.50E-15,2.03E-14,1.24E-14,,5,5,,,,,,,,,,,,,,,,,,,,,,,,NF/SS,,,,,,,,,,,,,,,,,,,,64.5,N130E,N160E,,90,,,,SS-NF,,,,,400,1650,1675,,,,,,,,,,,,,,,,,,,1620,1640,"Pumping and injection tests with brine, tracers and CO2",9/1/2016,"brine, CO2",,2.00E-03,,1.65E+02,,-4.18E+02,,,,,not reported,,,,,,,,,,,,,,,,,,"Niemi et al. (2016, 2020), Vilarrasa et al., (2019)",2
Netherlands,Bergermeer,52.651,4.717,Geologic gas storage,Natural gas storage,Rotliegend sandstone,Sandstone,,,2500,,0.15,0.3,0.23,3.00E-13,6.00E-13,4.50E-13,10,26,18,0.1,0.25,0.18,4.17,17.33,4.55,10.4,,1,,,,,,,,,,,,,,,NF,0.023,0,48.3,,0.0204,0,42.84,,0.0155,0,32.55,,,,0.01,,21,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,,Cushion gas injection,1/1/2010,Natural gas,60,4.63E+02,,4.30E+09,,,,7.7,,,366,,,,,,0.98,,,0.9,Mw,,,2100,,10/1/2013,"Heterogeneities of the fault can explain local seismicities during cushion gas injection. After that, the seismicity rate has been significantly declined as the fault got strengthened (Kaiser effect). Cooling effect could also impose minor impacts on the fault stability",The reservoir has experienced significant pressure reduction and large earthquakes during the reservoir depletion,"Fenix Consulting Delft, B.V. (2018), Muntendam-Bos et al. (2008), Muntendam-Bos et al. (2021), Qcon GmbH (2016), TNO (2014)",3
Spain,Castor,40.38,0.701,Geologic gas storage,Natural gas storage,Montsia structure,Karstified carbonate,,,,,0.02,0.25,0.14,9.00E-13,1.00E-11,5.45E-12,20,48,34,0.26,0.26,0.26,13.89,33.33,7.94,19.05,,,,,,,,,,,,,,,,5000,NF/SS,0.0225,0.6,38.85,40.65,0.0225,0.6,38.85,40.65,0.014,0.6,24.32,25.43,,N26E,0.0103,0.6,18.03,18.85,,80,,190,,60,,280,Amposta,NF,,,,,100,,,,,,,,1.00E-17,,,,,,,,,,,,30,1700,1780,Cushion gas injection,9/2/2013,Natural gas,,1.50E+00,,6.40E+05,,6.40E+05,0.6,,9/5/2013,3,"1002, 0≤MLG≤4, 13 M>13, 3 M>4 (05/09/2013-15/10/2013)",1700,9000,,,6.2,1.9,4.8,1.1,4.2,Mw,,,7000,5000,10/1/2013,Complex interaction with non-hydraulically connected crystalline basement,Likely induced/triggered,"Cesca et al. (2014). Batchelor et al. (2007), Jaunes et al. (2017), Schindler et al. (1998), Gaite et al. (2016), Villaseñor et al. (2020), Ruiz-Barajas et al. (2017)",4
Spain,Hontomín,42.581,-3.652,Geologic gas storage,Injectivity tests with brine and CO2,Sopeña,Limestone and dolomite,,,,,0,0.16,0.08,5.00E-16,1.50E-14,7.75E-15,30,60,45,,,,,,,,,,,,,,,,,,,,,,,,NF/SS,0.024,0,33.94,37.92,0.024,0,33.94,37.92,0.0145,0,20.48,22.88,,N50E,0.01,0,14.14,15.8,43.3,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414,1580,"Brine, brine with dissolved CO2 and CO2 injection",4/1/2015,"brine, CO2",33,2.00E-03,,1.40E+04,,1.40E+04,8,22,,,a few,,,,,,,,,0,,,,,,,,,"de Dios et al. (2017), Lopez-Perez et al. (2020)",5
United States of America,"Decatur (CCS1), Illinois, demonstration site",39.877,-88.893,Geologic gas storage,CCS,Mt Simon,Sandstone,,,,,0.18,0.2,0.19,2.00E-13,1.00E-12,6.00E-13,11,21,16,0.16,0.17,0.17,5.39,10.61,4.74,8.97,,0.77,37,38,5.5,7,,,,,,,,,,2184,SS,0.0226,0,47.91,48.36,0.029,0,61.48,62.06,0.0162,0,34.34,34.67,,N68E,0.0102,0,21.62,21.83,,50,N40E,NW-SE,50,90,,,,SS-NF,,,,,150,,2170,,,,,,,,,,,,,,,,,,,2120,2140,CO2 injection through a vertical well,11/1/2011,CO2,50,1.55E-02,,1.33E+06,,1.33E+06,9.3,22.9,7/1/2003,,1400,1900,2700,,,,1,,,1.17,Mw,,,2400,2500,,"Pore pressure buildup and poroelastic stresses, due to CO2 injection, of faults in the crystalline basement",Volume assuming liquid CO2 density of 1100 kg/m3,"Bondarenko et al. (2021), Kaven et al. (2015), Luu et al. (2022), Vilarrasa et al. (2019), Bauer et al. (2016), Goertz-Allmann et al. (2017), Williams-Stroud et al. (2020), Yang et al. (2018)",6
United States of America,"IL-ICCS (CCS2), Illinois, industry site",39.886,-88.888,Geologic gas storage,CCS,Mt Simon,Sandstone,,,,,0.15,0.22,0.19,2.00E-13,,2.00E-13,,17.25,17.25,,0.14,0.14,,7.88,,7.6,,0.66,,,,,,,,,,,,,,2184,SS,0.0226,0,45.67,47.01,0.029,0,58.61,60.32,0.0162,0,32.74,33.7,,N68E,0.0102,0,20.61,21.22,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2080,CO2 injection through a vertical well,4/1/2017,CO2,50,2.41E-02,,2.40E+06,,2.40E+06,12,,4/1/2017,,Much less than IBDP (CCS1),,,,,,,,,0.8,Mw,,,,,,,"Low permeability mudstone baffles of 3-5 m thickness below the injection interval have restricted pressure migration downward to the basement and, thus, the rate of seismicity has been significantly lower than CCS1.","Berger et al. (2019), Bondarenko et al. (2021), Freiburg et al. (2014), Leetaru and Freiburg (2014), Luu et al. (2022), Williams-Stroud et al. (2020)",7
Australia,Cooper Basin (Habanero 1 restimulation),-27.815,140.755,Geothermal energy,EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,,,,RF,0.0232,0,98.77,,0.0325,0,138.3,,0.0272,0,115.56,,N82E,,0.0186,0,79.01,,250,,,,,10,,,Habanero fault,RF,6,150,1,,0,4200,4254,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,,4250,,,9/12/2005,,,3.10E-02,2.25E+04,,,,62,,9/12/2005,,"16000, -1.2≤ML≤2.9",4250,,,,,,,,2.9,ML,,,2000,,9/13/2005,,Habanero 1 restimulation,"Baisch et al. (2009), Holl and Barton (2015)",8
Australia,Cooper Basin (Habanero 1),-27.815,140.755,Geothermal energy,EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,,,,RF,0.0232,0,92.82,98.86,0.0325,0,129.96,138.43,0.0272,0,108.6,115.67,N82E,,0.0186,0,74.25,79.08,250,,,,,10,,,Habanero fault,RF,6,150,1,,0,4200,4254,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,,3994,4254,,11/1/2003,,,4.80E-02,2.00E+04,,,,70,,11/6/2003,,27000,4000,4500,,,,0.83,,,3.7,Mw,,,7000,,11/14/2003,,"Habanero 1 well. The Geoscience Australia Earthquakes database says M 3.7 event occurred on 06/12/2003 at a depth of 7 km. Caffagni says two M3.7 earthquakes occurred, first one during a shut-in phase and second during a progressive increase in injection rate","Asanuma et al. (2005), Baisch et al. (2006), Majer et al. (2007), Barton et al. (2013), Humphreys et al. (2014), Holl and Barton (2015)",9
Australia,Cooper Basin (Habanero 3),-27.82,140.751,Geothermal energy,EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,,,,RF,0.0232,0,,,0.0325,0,,,0.0272,0,,,N82E,,0.0186,0,,,250,,,,,10,,,Habanero fault,RF,6,150,1,,0,4180,,,2700,0,,1.00E-14,5.00E-14,,,,,,,,,,,,,,,,,,,,,,,,,,4/17/2008,,310,,,,,,,,,1.7,ML,,,,,,,Habanero 3 well,Holl and Barton (2015),10
