sub_class,rock_formation,rock_strat,rock_fr_dens_min,rock_fr_dens_max,rockDensMin,rock_dens_max,rock_poro_min,rock_poro_max,rock_poro_mean,rock_perm_min,rock_perm_max,rock_perm_mean,rock_E_min,rock_E_max,rock_E_mean,rock_nu_min,rock_nu_max,rock_nu_mean,rock_K_min,rock_K_max,rock_G_min,rock_G_min,rock_biot_min,rock_biot_max,rock_phi_min,rock_phi_max,rock_c_min,rock_c_max,rock_ucs_min,rock_ucs_max,rock_T0_min,rock_T0_max,rock_lambda_min,rock_lambda_max,rock_beta_min,rock_beta_max
CCS,Krechba,Sandstone,1,5,2250,2470,0.15,0.2,0.18,8.10E-15,2.40E-14,1.61E-14,5,20,12.5,0.2,0.2,0.2,2.78,11.11,2.08,8.33,,,,26.6,,,,,,,,2,,1.00E-05
CCS,Heletz sand,unconsolidated sand,,,,,0.13,0.16,0.15,4.50E-15,2.03E-14,1.24E-14,,5,5,,,,,,,,,,,,,,,,,,,,,
Natural gas storage,Rotliegend sandstone,Sandstone,,,2500,,0.15,0.3,0.23,3.00E-13,6.00E-13,4.50E-13,10,26,18,0.1,0.25,0.18,4.17,17.33,4.55,10.4,,1,,,,,,,,,,,,
Natural gas storage,Montsia structure,Karstified carbonate,,,,,0.02,0.25,0.14,9.00E-13,1.00E-11,5.45E-12,20,48,34,0.26,0.26,0.26,13.89,33.33,7.94,19.05,,,,,,,,,,,,,,
Injectivity tests with brine and CO2,Sopeña,Limestone and dolomite,,,,,0,0.16,0.08,5.00E-16,1.50E-14,7.75E-15,30,60,45,,,,,,,,,,,,,,,,,,,,,
CCS,Mt Simon,Sandstone,,,,,0.18,0.2,0.19,2.00E-13,1.00E-12,6.00E-13,11,21,16,0.16,0.17,0.17,5.39,10.61,4.74,8.97,,0.77,37,38,5.5,7,,,,,,,,
CCS,Mt Simon,Sandstone,,,,,0.15,0.22,0.19,2.00E-13,,2.00E-13,,17.25,17.25,,0.14,0.14,,7.88,,7.6,,0.66,,,,,,,,,,,,
EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,
EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,
EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,
EGS (injection),Innamincka Granite,Granite,,,2600,2700,0,,0,1.00E-19,,1.00E-19,65,,65,0.25,,0.25,43.33,,26,,,,,,,,,,,,2.5,3.78,8.00E-06,
