sub_class,site_depth_bas_min,site_depth_bas_max,site_s_reg,site_sv_a,site_sv_b,site_sv_min,site_sv_max,site_shmax_a,site_shmax_b,site_shmax_min,site_shmax_max,site_shmin_a,site_shmin_b,site_shmin_min,site_shmin_max,site_shmax_dir_min,site_shmax_dir_max,site_p_a,site_p_b,site_p_min,site_p_max,site_T_min,site_T_max
CCS,,,SS,0.0247,0,44.46,44.95,0.0277,0,49.8,50.35,0.017,0,30.68,31.02,,NW-SE,0.0099,0,17.8,18,,90
CCS,,,NF/SS,,,,,,,,,,,,,,,,,,,,64.5
Natural gas storage,,,NF,0.023,0,48.3,,0.0204,0,42.84,,0.0155,0,32.55,,,,0.01,,21,,,89
Natural gas storage,,5000,NF/SS,0.0225,0.6,38.85,40.65,0.0225,0.6,38.85,40.65,0.014,0.6,24.32,25.43,,N26E,0.0103,0.6,18.03,18.85,,80
Injectivity tests with brine and CO2,,,NF/SS,0.024,0,33.94,37.92,0.024,0,33.94,37.92,0.0145,0,20.48,22.88,,N50E,0.01,0,14.14,15.8,43.3,46.5
CCS,,2184,SS,0.0226,0,47.91,48.36,0.029,0,61.48,62.06,0.0162,0,34.34,34.67,,N68E,0.0102,0,21.62,21.83,,50
CCS,,2184,SS,0.0226,0,45.67,47.01,0.029,0,58.61,60.32,0.0162,0,32.74,33.7,,N68E,0.0102,0,20.61,21.22,,50
EGS (injection),,,RF,0.0232,0,98.77,,0.0325,0,138.3,,0.0272,0,115.56,,N82E,,0.0186,0,79.01,,250,
EGS (injection),,,RF,0.0232,0,92.82,98.86,0.0325,0,129.96,138.43,0.0272,0,108.6,115.67,N82E,,0.0186,0,74.25,79.08,250,
EGS (injection),,,RF,0.0232,0,,,0.0325,0,,,0.0272,0,,,N82E,,0.0186,0,,,250,
EGS (injection),,,RF,0.0232,0,96.68,,0.0325,0,135.37,,0.0272,0,113.11,,N82E,,0.0186,0,77.33,,250,
EGS (injection),,,RF,0.0232,0,99.05,112.76,0.0325,0,138.69,157.88,0.0272,0,115.88,131.93,N82E,,0.0186,0,79.23,90.2,250,
EGS (injection),3880,,SS,0.0263,0,95.71,95.86,0.0352,0,128.09,128.3,0.02,0,72.78,72.9,N101E,,0.0162,0,58.98,59.08,176,
EGS (injection),3880,,SS,0.0263,0,95.71,95.86,0.0352,0,128.09,128.3,0.02,0,72.78,72.9,N101E,,0.0162,0,58.98,59.08,176,
Geothermal (reinjeciton),,,,,,,,,,,,,,,,,,,,,,138,142
EGS (injection),,,,,,,,,,,,,,,,,,,,,,260,300
EGS (Stimulation),,,SS,0.0295,0,180,,0.0393,0,240,,0.018,0,110,,N110E,N135E,0.0098,0,60,,120,130
EGS (Hydraulic test),,,SS/NF,0.0255,-1.3,62.45,113.45,0.023,-1.17,56.21,102.11,0.0141,-1.78,33.45,61.63,N175E,,,,,,200,
EGS (injection),2200,,SS/NF,0.0255,-1.3,,,0.023,-1.17,,,0.0141,-1.78,,,N155E,,,,,,170,
EGS (Hydraulic test),,,SS/NF,0.0255,-1.3,62.45,113.45,0.023,-1.17,56.21,102.11,0.0141,-1.78,33.45,61.63,N175E,,,,,,200,
EGS (Stimulation),,,SS/NF,,,71.54,87.85,,,70.46,92.3,,,37.05,45.5,,N170E,,,28.5,35,155,202
EGS (injection),,,SS/NF,0.0255,-1.3,111.69,128.34,0.023,-1.17,100.52,115.51,0.0141,-1.78,60.65,69.85,,N175E,0.0098,-0.9,42.52,48.92,202,
EGS (Stimulation),,,SS/NF,0.0255,-1.3,111.69,128.34,0.023,-1.17,100.52,115.51,0.0141,-1.78,60.65,69.85,,N175E,0.0098,-0.9,42.52,48.92,202,
EGS (injection),,,SS/NF,0.0255,-1.3,114.88,126.2,0.023,-1.17,103.39,113.58,0.0141,-1.78,62.41,68.67,,N169E,0.0098,-0.9,43.75,48.1,202,
