sub_class,inj_depth_min,inj_depth_max,inj_type,int_start,inj_fluid,inj_T,inj_rate_max,inj_vol_min,inj_vol_max,inj_net_vol_min,inj_net_vol_max,inj_up_p,inj_down_p
CCS,1800,1820,CO2 injection through 3 horizontal wells,1/1/2004,CO2,50,1.31E-02,,5.92E+06,,5.92E+06,18,30
CCS,1620,1640,"Pumping and injection tests with brine, tracers and CO2",9/1/2016,"brine, CO2",,2.00E-03,,1.65E+02,,-4.18E+02,,
Natural gas storage,2100,,Cushion gas injection,1/1/2010,Natural gas,60,4.63E+02,,4.30E+09,,,,7.7
Natural gas storage,1700,1780,Cushion gas injection,9/2/2013,Natural gas,,1.50E+00,,6.40E+05,,6.40E+05,0.6,
Injectivity tests with brine and CO2,1414,1580,"Brine, brine with dissolved CO2 and CO2 injection",4/1/2015,"brine, CO2",33,2.00E-03,,1.40E+04,,1.40E+04,8,22
CCS,2120,2140,CO2 injection through a vertical well,11/1/2011,CO2,50,1.55E-02,,1.33E+06,,1.33E+06,9.3,22.9
CCS,2021,2080,CO2 injection through a vertical well,4/1/2017,CO2,50,2.41E-02,,2.40E+06,,2.40E+06,12,
EGS (injection),4250,,,9/12/2005,,,3.10E-02,2.25E+04,,,,62,
EGS (injection),3994,4254,,11/1/2003,,,4.80E-02,2.00E+04,,,,70,
EGS (injection),,,,,,,,,,,,,
EGS (injection),4160,,,11/14/2012,,,6.00E-02,3.40E+04,,,,50,
EGS (injection),4262,4852,,10/23/2010,,,1.00E-02,3.80E+02,,,,70,120
EGS (injection),3639,3645,Diagnostic Fracture Injection Test (DFIT),1/1/2011,Water,,5.30E-03,1.40E+03,,,,59,
EGS (injection),3639,3645,Stimulation,7/10/2011,Water,,2.70E-02,3.10E+03,,,,62,
Geothermal (reinjeciton),3300,,Reinjection,12/1/2018,water,,,,,,1.70E+04,11.4,
EGS (injection),1800,2200,,7/1/2003,Brine,175,1.40E-01,3.00E+05,,,,,
EGS (Stimulation),5700,6100,Stimulation,6/4/2018,Fresh water,,1.33E-02,1.85E+04,,,1.82E+04,90,
EGS (Hydraulic test),2500,4500,Hydraulic test,9/1/2020,,,,,,,,,
EGS (injection),2580,,,6/1/2013,,,,,,,,,
EGS (Hydraulic test),2500,4500,Hydraulic test,11/2/2019,,,9.72E-02,,,,,,
EGS (Stimulation),3000,3500,Massive injection,9/1/1993,,40,3.60E-02,2.30E+04,,,,10,38.1
EGS (injection),4431,5084,Massive injection,6/30/2000,,,5.00E-02,2.20E+04,3.30E+04,,,14.5,
EGS (Stimulation),4431,5084,restimulation,5/1/2003,,,2.00E-02,3.40E+03,,,,7.9,
EGS (injection),4556,5000,Massive injection,5/27/2003,,,1.50E-02,8.50E+03,,,,7,
EGS (injection),4500,5000,,9/1/2004,,,4.50E-02,,2.15E+04,,,18.5,
EGS (injection),,4300,,9/1/2002,,,5.00E-02,5.60E+03,,,,34,
EGS (injection),3664,3926.5,Demonstration well - hydraulic fracturing,9/1/2003,Water,60,5.00E-02,,,2.00E+04,,46,
EGS (injection),4100,,Stimulation,1/1/2007,Water,30,1.50E-01,1.30E+04,,,,59,
EGS (injection),3600,3800,Stimulation,4/1/2010,,45,,,,9.00E+03,,9,
EGS (circulation),3600,3800,Circulation,4/1/2010,,45,,,,0.00E+00,,1.2,
EGS (circulation),3000,,Circulation,1/1/2007,,,7.00E-02,,,0.00E+00,,6,
EGS (circulation),3350,3600,,10/1/2007,Water,110,1.20E-01,,,,,2.5,
Geothermal (reinjection),760,2250,,9/1/2011,,70,5.50E-01,,,,,2.8,
Geothermal (drilling and stimulation),2500,2500,,1/1/2003,,,6.00E-02,,,,,,
Geothermal (reinjection),800,,,1/1/2006,,,3.50E-01,,,,,,
Geothermal (reinjection),2000,2100,Circulation,1/1/2002,,,7.00E-02,,,,,0.3,
Geothermal (reinjection),390,1875,Re-injection (pressure recovery),1/1/1997,,20,2.10E-02,,,,,2.8,
Geothermal (reinjection),,1000,,1/1/2000,,65,4.00E-03,,,,,,
Geothermal (reinjection),400,550,,1/1/2004,,,1.60E-01,,,,,,
Geothermal (extraction and reinjection),1000,,,1/1/2009,,,7.90E-02,7.06E+07,,,,,
Geothermal (reinjection),1000,2000,Re-injection (pressure recovery),1/1/1984,,75,5.50E-02,2.00E+05,,,,3.4,
Geothermal (reinjection),600,1200,Re-injection (pressure recovery),1/1/2001,,75,2.44E-01,,,,,,
EGS (injection),600,2000,injection,3/1/1980,water,,8.30E-02,3.00E+04,,,,9,
